"party_label","party_votes","prefs","pref_ratio","cand_label","cand_num","protocol"
"ГЕРБ-СДС ","115","89","0.774","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700001.1.html"
"ГЕРБ-СДС ","138","112","0.812","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700002.1.html"
"ГЕРБ-СДС ","157","129","0.822","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700003.1.html"
"ГЕРБ-СДС ","179","145","0.81","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700004.1.html"
"ГЕРБ-СДС ","153","138","0.902","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700005.1.html"
"ГЕРБ-СДС ","178","142","0.798","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700006.1.html"
"ГЕРБ-СДС ","175","151","0.863","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700007.1.html"
"ГЕРБ-СДС ","139","130","0.935","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700008.1.html"
"ГЕРБ-СДС ","45","36","0.8","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700009.1.html"
"ГЕРБ-СДС ","115","96","0.835","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700010.1.html"
"ГЕРБ-СДС ","64","51","0.797","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700012.1.html"
"ГЕРБ-СДС ","82","68","0.829","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700013.1.html"
"ГЕРБ-СДС ","39","35","0.897","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700015.1.html"
"ГЕРБ-СДС ","194","182","0.938","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700016.1.html"
"ГЕРБ-СДС ","45","34","0.756","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700019.1.html"
"ГЕРБ-СДС ","39","37","0.949","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291700020.1.html"
"ГЕРБ-СДС ","170","148","0.871","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/292800033.1.html"
"ГЕРБ-СДС ","45","34","0.756","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/292800040.1.html"
"ГЕРБ-СДС ","34","24","0.706","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/292800043.1.html"
"ГЕРБ-СДС ","124","94","0.758","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/292900008.1.html"
"ГЕРБ-СДС ","36","36","1","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/292900010.1.html"
"ГЕРБ-СДС ","76","66","0.868","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/293200017.1.html"
"ГЕРБ-СДС ","38","27","0.711","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/293200020.1.html"
"ГЕРБ-СДС ","87","68","0.782","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/293200021.1.html"
"ГЕРБ-СДС ","72","62","0.861","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/293200022.1.html"
"ГЕРБ-СДС ","35","25","0.714","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/293300024.1.html"
"ГЕРБ-СДС ","44","33","0.75","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/293300034.1.html"
"ГЕРБ-СДС ","50","41","0.82","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/293400137.1.html"
"ГЕРБ-СДС ","98","88","0.898","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700001.1.html"
"ГЕРБ-СДС ","59","53","0.898","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700004.1.html"
"ГЕРБ-СДС ","68","50","0.735","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700005.1.html"
"ГЕРБ-СДС ","61","51","0.836","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700007.1.html"
"ГЕРБ-СДС ","85","70","0.824","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700008.1.html"
"ГЕРБ-СДС ","72","59","0.819","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700009.1.html"
"ГЕРБ-СДС ","79","71","0.899","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700010.1.html"
"ГЕРБ-СДС ","78","64","0.821","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700013.1.html"
"ГЕРБ-СДС ","103","79","0.767","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700014.1.html"
"ГЕРБ-СДС ","55","39","0.709","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/300700015.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","69","50","0.725","Бюнямин Хюсеин Хасан ","102","https://results.cik.bg/ns2023/protokoli/64/30/301100001.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","63","46","0.73","Бюнямин Хюсеин Хасан ","102","https://results.cik.bg/ns2023/protokoli/64/30/301100003.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","152","137","0.901","Бюнямин Хюсеин Хасан ","102","https://results.cik.bg/ns2023/protokoli/64/30/301100020.1.html"
"ГЕРБ-СДС ","64","45","0.703","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/301800003.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","39","30","0.769","Захари Георгиев Борачев ","107","https://results.cik.bg/ns2023/protokoli/64/30/301800004.1.html"
"ГЕРБ-СДС ","32","23","0.719","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/301800005.1.html"
"ГЕРБ-СДС ","44","44","1","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/301800006.1.html"
"ГЕРБ-СДС ","92","87","0.946","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/301800009.1.html"
"ГЕРБ-СДС ","39","29","0.744","Ралица Тодорова Ангелова ","103","https://results.cik.bg/ns2023/protokoli/64/30/301900003.1.html"
"ГЕРБ-СДС ","36","29","0.806","Ралица Тодорова Ангелова ","103","https://results.cik.bg/ns2023/protokoli/64/30/301900016.1.html"
"ГЕРБ-СДС ","176","154","0.875","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/302100002.1.html"
"ГЕРБ-СДС ","202","176","0.871","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/302100003.1.html"
"ГЕРБ-СДС ","70","51","0.729","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/302100009.1.html"
"ГЕРБ-СДС ","104","90","0.865","Илтер Бейзатов Садъков ","102","https://results.cik.bg/ns2023/protokoli/64/30/302100010.1.html"
"БСП ЗА БЪЛГАРИЯ ","57","41","0.719","Иван Валентинов Ганчев ","102","https://results.cik.bg/ns2023/protokoli/64/30/302200006.1.html"
"БСП ЗА БЪЛГАРИЯ ","63","55","0.873","Иван Валентинов Ганчев ","102","https://results.cik.bg/ns2023/protokoli/64/30/302200007.1.html"
"БСП ЗА БЪЛГАРИЯ ","39","31","0.795","Иван Валентинов Ганчев ","102","https://results.cik.bg/ns2023/protokoli/64/30/302200012.1.html"
"БСП ЗА БЪЛГАРИЯ ","37","29","0.784","Иван Валентинов Ганчев ","102","https://results.cik.bg/ns2023/protokoli/64/30/302200016.1.html"
"БСП ЗА БЪЛГАРИЯ ","38","29","0.763","Иван Валентинов Ганчев ","102","https://results.cik.bg/ns2023/protokoli/64/30/302200017.1.html"
"БСП ЗА БЪЛГАРИЯ ","33","28","0.848","Иван Валентинов Ганчев ","102","https://results.cik.bg/ns2023/protokoli/64/30/302200025.1.html"
"БСП ЗА БЪЛГАРИЯ ","37","31","0.838","Иван Валентинов Ганчев ","102","https://results.cik.bg/ns2023/protokoli/64/30/302200034.1.html"
"ГЕРБ-СДС ","58","42","0.724","Димитър Георгиев Биволаров ","103","https://results.cik.bg/ns2023/protokoli/64/31/310700024.1.html"
"БСП ЗА Б  ЛГАРИЯ ","92","85","0.924","Галин Янков Пантелеев ","103","https://results.cik.bg/ns2023/protokoli/64/31/312500010.1.html"
