"party_label","party_votes","prefs","pref_ratio","cand_label","cand_num","protocol"
"ГЕРБ-СДС ","69","52","0.754","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500003.1.html"
"ГЕРБ-СДС ","55","44","0.8","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500004.1.html"
"ГЕРБ-СДС ","137","116","0.847","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500005.1.html"
"ГЕРБ-СДС ","98","86","0.878","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500006.1.html"
"ГЕРБ-СДС ","114","89","0.781","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500007.1.html"
"ГЕРБ-СДС ","74","63","0.851","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500009.1.html"
"ГЕРБ-СДС ","111","92","0.829","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500010.1.html"
"ГЕРБ-СДС ","76","60","0.789","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500011.1.html"
"ГЕРБ-СДС ","103","89","0.864","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500012.1.html"
"ГЕРБ-СДС ","95","89","0.937","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500013.1.html"
"ГЕРБ-СДС ","78","67","0.859","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500014.1.html"
"ГЕРБ-СДС ","65","50","0.769","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500020.1.html"
"ГЕРБ-СДС ","74","67","0.905","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500030.1.html"
"ГЕРБ-СДС ","53","43","0.811","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500031.1.html"
"ГЕРБ-СДС ","130","112","0.862","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500032.1.html"
"ГЕРБ-СДС ","140","125","0.893","Младен Николов Шишков ","104","https://results.cik.bg/ns2023/protokoli/64/17/172500033.1.html"
"БСП ЗА БЪЛГАРИЯ ","130","94","0.723","Георги Стоянов Маринчешки ","104","https://results.cik.bg/ns2023/protokoli/64/17/172800013.1.html"
"БСП ЗА БЪЛГАРИЯ ","132","117","0.886","Георги Стоянов Маринчешки ","104","https://results.cik.bg/ns2023/protokoli/64/17/172800014.1.html"
